title,authors,pub_date,abstract,keywords
"Profiling the inhibitory receptors LAG-3, TIM-3, and TIGIT in renal cell carcinoma reveals malignancy","Kimiharu Takamatsu, Nobuyuki Tanaka, Kyohei Hakozaki, Ryohei Takahashi, Yu Teranishi, Tetsushi Murakami, Ryohei Kufukihara, Naoya Niwa, Shuji Mikami, Toshiaki Shinojima, Takashi Sasaki, Yusuke Sato, Haruki Kume, Seishi Ogawa, Kazuhiro Kakimi, Takashi Kamatani, Fuyuki Miya, Tatsuhiko Tsunoda, Eriko Aimono, Hiroshi Nishihara, Kazuaki Sawada, Takeshi Imamura, Ryuichi Mizuno, Mototsugu Oya",2021-09-20,"A cutting edge therapy for future immuno-oncology is targeting a new series of inhibitory receptors (IRs): LAG-3, TIM-3, and TIGIT. Both immunogenomic analyses and diagnostic platforms to distinguish candidates and predict good responders to these IR-related agents are vital in clinical pathology. By applying an automated single-cell count for immunolabelled LAG-3, TIM-3, and TIGIT, we reveal that individual IR levels with exclusive domination in each tumour can serve as valid biomarkers for profiling human renal cell carcinoma (RCC). We uncover the immunogenomic landscape associated with individual IR levels in human RCC tumours with metastases in various organs and histological subtypes. We then externally validate our results and devise a workflow with optimal biomarker cut-offs for discriminating the LAG-3, TIM-3, and TIGIT tumour profiles. The discrimination of LAG-3, TIM-3, and TIGIT profiles in tumours may have a broad impact on investigations of immunotherapy responses after targeting a new series of IRs.",
Dysfunctional adipocytes promote tumor progression through YAP/TAZ-dependent cancer-associated adipocyte transformation,"Yaechan Song, Heeju Na, Seung Eon Lee, You Min Kim, Jihyun Moon, Tae Wook Nam, Yul Ji, Young Jin, Jae Hyung Park, Seok Chan Cho, Jaehoon Lee, Daehee Hwang, Sang-Jun Ha, Hyun Woo Park, Jae Bum Kim, Han-Woong Lee",2024-05-14,"Obesity has emerged as a prominent risk factor for the development of malignant tumors. However, the existing literature on the role of adipocytes in the tumor microenvironment (TME) to elucidate the correlation between obesity and cancer remains insufficient. Here, we aim to investigate the formation of cancer-associated adipocytes (CAAs) and their contribution to tumor growth using mouse models harboring dysfunctional adipocytes. Specifically, we employ adipocyte-specific BECN1 KO (BaKO) mice, which exhibit lipodystrophy due to dysfunctional adipocytes. Our results reveal the activation of YAP/TAZ signaling in both CAAs and BECN1-deficient adipocytes, inducing adipocyte dedifferentiation and formation of a malignant TME. The additional deletion of YAP/TAZ from BaKO mice significantly restores the lipodystrophy and inflammatory phenotypes, leading to tumor regression. Furthermore, mice fed a high-fat diet (HFD) exhibit decreased BECN1 and increased YAP/TAZ expression in their adipose tissues. Treatment with the YAP/TAZ inhibitor, verteporfin, suppresses tumor progression in BaKO and HFD-fed mice, highlighting its efficacy against mice with metabolic dysregulation. Overall, our findings provide insights into the key mediators of CAA and their significance in developing a TME, thereby suggesting a viable approach targeting adipocyte homeostasis to suppress cancer growth.",
Radiomics nomogram for predicting chemo-immunotherapy efficiency in advanced non-small cell lung cancer,"Hua Jin, Yuchao Wang, Xushuo Li, Ying Yang, Ruixue Qi",2024-09-06,"This study aimed to explore potential radiomics biomarkers in predicting the efficiency of chemo-immunotherapy in patients with advanced non-small cell lung cancer (NSCLC). Eligible patients were prospectively assigned to receive chemo-immunotherapy, and were divided into a primary cohort (n = 138) and an internal validation cohort (n = 58). Additionally, a separative dataset was used as an external validation cohort (n = 60). Radiomics signatures were extracted and selected from the primary tumor sites from chest CT images. A multivariate logistic regression analysis was conducted to identify the independent clinical predictors. Subsequently, a radiomics nomogram model for predicting the efficiency of chemo-immunotherapy was conducted by integrating the selected radiomics signatures and the independent clinical predictors. The receiver operating characteristic (ROC) curves demonstrated that the radiomics model, the clinical model, and the radiomics nomogram model achieved areas under the curve (AUCs) of 0.85 (95% confidence interval [CI] 0.78–0.92), 0.76 (95% CI 0.68–0.84), and 0.89 (95% CI 0.84–0.94), respectively, in the primary cohort. In the internal validation cohort, the corresponding AUCs were 0.93 (95% CI 0.86–1.00), 0.79 (95% CI 0.68–0.91), and 0.96 (95% CI 0.90–1.00) respectively. Moreover, in the external validation cohort, the AUCs were 0.84 (95% CI 0.72–0.96), 0.75 (95% CI 0.62–0.87), and 0.86 (95% CI 0.75–0.96), respectively. In conclusion, the radiomics nomogram provides a convenient model for predicting the effect of chemo-immunotherapy in advanced NSCLC patients.","Chemo-immunotherapy, Non-small cell lung cancer, Radiomics, Nomogram"
Sex differences in oncogenic mutational processes,"Constance H. Li, Stephenie D. Prokopec, Ren X. Sun, Fouad Yousif, Nathaniel Schmitz, PCAWG Tumour Subtypes and Clinical Translation, Paul C. Boutros, PCAWG Consortium",2020-08-28,"Sex differences have been observed in multiple facets of cancer epidemiology, treatment and biology, and in most cancers outside the sex organs. Efforts to link these clinical differences to specific molecular features have focused on somatic mutations within the coding regions of the genome. Here we report a pan-cancer analysis of sex differences in whole genomes of 1983 tumours of 28 subtypes as part of the ICGC/TCGA Pan-Cancer Analysis of Whole Genomes (PCAWG) Consortium. We both confirm the results of exome studies, and also uncover previously undescribed sex differences. These include sex-biases in coding and non-coding cancer drivers, mutation prevalence and strikingly, in mutational signatures related to underlying mutational processes. These results underline the pervasiveness of molecular sex differences and strengthen the call for increased consideration of sex in molecular cancer research.",
"Uncovering the complex relationship between balding, testosterone and skin cancers in men","Jue-Sheng Ong, Mathias Seviiri, Jean Claude Dusingize, Yeda Wu, Xikun Han, Jianxin Shi, Catherine M. Olsen, Rachel E. Neale, John F. Thompson, Robyn P. M. Saw, Kerwin F. Shannon, Graham J. Mann, Nicholas G. Martin, Sarah E. Medland, Scott D. Gordon, Richard A. Scolyer, Georgina V. Long, Mark M. Iles, Maria Teresa Landi, David C. Whiteman, Stuart MacGregor, Matthew H. Law",2023-10-03,"Male-pattern baldness (MPB) is related to dysregulation of androgens such as testosterone. A previously observed relationship between MPB and skin cancer may be due to greater exposure to ultraviolet radiation or indicate a role for androgenic pathways in the pathogenesis of skin cancers. We dissected this relationship via Mendelian randomization (MR) analyses, using genetic data from recent male-only meta-analyses of cutaneous melanoma (12,232 cases; 20,566 controls) and keratinocyte cancers (KCs) (up to 17,512 cases; >100,000 controls), followed by stratified MR analysis by body-sites. We found strong associations between MPB and the risk of KC, but not with androgens, and multivariable models revealed that this relationship was heavily confounded by MPB single nucleotide polymorphisms involved in pigmentation pathways. Site-stratified MR analyses revealed strong associations between MPB with head and neck squamous cell carcinoma and melanoma, suggesting that sun exposure on the scalp, rather than androgens, is the main driver. Men with less hair covering likely explains, at least in part, the higher incidence of melanoma in men residing in countries with high ambient UV.",
Reply to: Ricolinostat is not a highly selective HDAC6 inhibitor,"Jose Silva, Jiyang Yu, Kevin Kalinsky",2023-06-15,No Abstract,
Polymeric nanocarrier via metabolism regulation mediates immunogenic cell death with spatiotemporal orchestration for cancer immunotherapy,"Yichen Guo, Yongjuan Li, Mengzhe Zhang, Rong Ma, Yayun Wang, Xiao Weng, Jinjie Zhang, Zhenzhong Zhang, Xiaoyuan Chen, Weijing Yang",2024-10-04,"The limited efficacy of cancer immunotherapy occurs due to the lack of spatiotemporal orchestration of adaptive immune response stimulation and immunosuppressive tumor microenvironment modulation. Herein, we report a nanoplatform fabricated using a pH-sensitive triblock copolymer synthesized by reversible addition-fragmentation chain transfer polymerization enabling in situ tumor vaccination and tumor-associated macrophages (TAMs) polarization. The nanocarrier itself can induce melanoma immunogenic cell death (ICD) via tertiary amines and thioethers concentrating on mitochondria to regulate metabolism in triggering endoplasmic reticulum stress and upregulating gasdermin D for pyroptosis as well as some features of ferroptosis and apoptosis. After the addition of ligand cyclic arginine-glycine-aspartic acid (cRGD) and mannose, the mixed nanocarrier with immune adjuvant resiquimod encapsulation can target B16F10 cells for in situ tumor vaccination and TAMs for M1 phenotype polarization. In vivo studies indicate that the mixed targeting nanoplatform elicits tumor ICD, dendritic cell maturation, TAM polarization, and cytotoxic T lymphocyte infiltration and inhibits melanoma volume growth. In combination with immune checkpoint blockade, the survival time of mice is markedly prolonged. This study provides a strategy for utilizing immunoactive materials in the innate and adaptive immune responses to augment cancer therapy.",
Using machine learning to develop a stacking ensemble learning model for the CT radiomics classification of brain metastases,"Huai-wen Zhang, Yi-ren Wang, Bo Hu, Bo Song, Zhong-jian Wen, Lei Su, Xiao-man Chen, Xi Wang, Ping Zhou, Xiao-ming Zhong, Hao-wen Pang, You-hua Wang",2024-11-19,"The objective of this study was to explore the potential of machine-learning techniques in the automatic identification and classification of brain metastases from a radiomic perspective, aiming to improve the accuracy of tumor volume assessment for radiotherapy. By using various machine-learning algorithms, including random forest, support vector machine, gradient boosting machine, XGBoost, decision tree, artificial neural network, k-nearest neighbors, LightGBM, and CatBoost algorithms, a stacking ensemble model was developed to classify gross tumor volume (GTV), brainstem, and normal brain tissue based on radiomic features. Multiple evaluation metrics, including the specificity, sensitivity, negative predictive value, positive predictive value, accuracy, Matthews correlation coefficient, and the Youden index, were used to assess the model’s performance. The stacked ensemble model integrated the strengths of the nine base models and consistently outperformed individual base models in classifying GTV (area under the curve [AUC] = 0.928), brainstem (AUC = 0.932), and normal brain tissue (AUC = 0.942). Among the base models, the support vector machine model demonstrated the best performance in the three classifications (AUC = 0.922, 0.909, and 0.928). The higher performance of the stacked ensemble model highlighted the low performance of other models, including the decision tree (AUC = 0.709, 0.706, 0.804) and k-nearest neighbors (AUC = 0.721, 0.663, 0.729) models in certain contexts, such as when faced with high-dimensional feature spaces. While machine learning shows significant promise in medical image analysis, relying solely on a single model may lead to suboptimal results. By combining the strengths of various algorithms, the stacking ensemble model offers a better solution for the classification of brain metastases based on radiomic features.","Artificial intelligence, Machine learning, Prediction model, Radiomics, Stacking ensemble learning"
CAR-redirected natural killer T cells demonstrate superior antitumor activity to CAR-T cells through multimodal CD1d-dependent mechanisms,"Xin Zhou, Ying Wang, Zhangqi Dou, Gloria Delfanti, Ourania Tsahouridis, Caroline Marnata Pellegry, Manuela Zingarelli, Gatphan Atassi, Mark G. Woodcock, Giulia Casorati, Paolo Dellabona, William Y. Kim, Linjie Guo, Barbara Savoldo, Ageliki Tsagaratou, J. Justin Milner, Leonid S. Metelitsa, Gianpietro Dotti",2024-10-01,"Human natural killer T (NKT) cells have been proposed as a promising cell platform for chimeric antigen receptor (CAR) therapy in solid tumors. Here we generated murine CAR-NKT cells and compared them with CAR-T cells in immune-competent mice. Both CAR-NKT cells and CAR-T cells showed similar antitumor effects in vitro, but CAR-NKT cells showed superior antitumor activity in vivo via CD1d-dependent immune responses in the tumor microenvironment. Specifically, we show that CAR-NKT cells eliminate CD1d-expressing M2-like macrophages. In addition, CAR-NKT cells promote epitope spreading and activation of endogenous T cell responses against tumor-associated neoantigens. Finally, we observed that CAR-NKT cells can co-express PD1 and TIM3 and show an exhaustion phenotype in a model of high tumor burden. PD1 blockade as well as vaccination augmented the antitumor activity of CAR-NKT cells. In summary, our results demonstrate the multimodal function of CAR-NKT cells in solid tumors, further supporting the rationale for developing CAR-NKT therapies in the clinic.",
Molecular and functional landscape of malignant serous effusions for precision oncology,"Rebekka Wegmann, Lorenz Bankel, Yasmin Festl, Kate Lau, Sohyon Lee, Fabian Arnold, Valentina Cappelletti, Aaron Fehr, Paola Picotti, Konstantin J. Dedes, Daniel Franzen, Daniela Lenggenhager, Peter K. Bode, Martin Zoche, Holger Moch, Christian Britschgi, Berend Snijder",2024-10-02,"Personalized treatment for patients with advanced solid tumors critically depends on the deep characterization of tumor cells from patient biopsies. Here, we comprehensively characterize a pan-cancer cohort of 150 malignant serous effusion (MSE) samples at the cellular, molecular, and functional level. We find that MSE-derived cancer cells retain the genomic and transcriptomic profiles of their corresponding primary tumors, validating their use as a patient-relevant model system for solid tumor biology. Integrative analyses reveal that baseline gene expression patterns relate to global ex vivo drug sensitivity, while high-throughput drug-induced transcriptional changes in MSE samples are indicative of drug mode of action and acquired treatment resistance. A case study exemplifies the added value of multi-modal MSE profiling for patients who lack genetically stratified treatment options. In summary, our study provides a functional multi-omics view on a pan-cancer solid tumor cohort and underlines the feasibility and utility of MSE-based precision oncology.",
Comprehensive model for simultaneous monitoring of primary tumor to metastatic cancer utilizing Prkdc and Il2rg double knockout mice,"Hee Jung Kwon, Jang Woo Park, Hye Kyung Chung, Joohee Jung",2024-10-09,"Liver cancer is the second leading cause of cancer-related deaths worldwide, motivating major scientific efforts to understand and treat this cancer type. Over 30% of patients with liver cancer progress to metastasis, which reduces the survival rate. Extensive studies on primary tumors have been conducted to improve the prognosis. However, there is a lack of appropriate and accessible models for studying the progression and metastasis of liver cancer. Moreover, conventional metastasis models do not reproduce metastasis as it occurs in patients. To address this lack of an appropriate model for the monitoring of cancer progression and evaluation of anticancer drugs, we established a spontaneous metastatic xenograft model using NSG mice subcutaneously transplanted with SK-Hep-1 cells. Compared to the conventional experimental metastasis model (intravenous transplantation), in which only lung metastasis was observed, the established spontaneous metastatic xenograft model was superior, as it showed both a primary tumor and metastatic patterns similar to those observed in human patients. Additionally, this model was successfully used to assess the antimetastatic efficacy of sorafenib. In conclusion, our results demonstrate that the established spontaneous metastatic xenograft model better reflects liver cancer metastasis and can be utilized to assess the efficacy of anticancer drugs for liver cancer.","Liver neoplasms, Mice, Neoplastic processes, Sorafenib, Survival rate, Xenografts"
Single-cell transcriptomes identify patient-tailored therapies for selective co-inhibition of cancer clones,"Aleksandr Ianevski, Kristen Nader, Kyriaki Driva, Wojciech Senkowski, Daria Bulanova, Lidia Moyano-Galceran, Tanja Ruokoranta, Heikki Kuusanmäki, Nemo Ikonen, Philipp Sergeev, Markus Vähä-Koskela, Anil K. Giri, Anna Vähärautio, Mika Kontro, Kimmo Porkka, Esa Pitkänen, Caroline A. Heckman, Krister Wennerberg, Tero Aittokallio",2024-10-03,"Intratumoral cellular heterogeneity necessitates multi-targeting therapies for improved clinical benefits in advanced malignancies. However, systematic identification of patient-specific treatments that selectively co-inhibit cancerous cell populations poses a combinatorial challenge, since the number of possible drug-dose combinations vastly exceeds what could be tested in patient cells. Here, we describe a machine learning approach, scTherapy, which leverages single-cell transcriptomic profiles to prioritize multi-targeting treatment options for individual patients with hematological cancers or solid tumors. Patient-specific treatments reveal a wide spectrum of co-inhibitors of multiple biological pathways predicted for primary cells from heterogenous cohorts of patients with acute myeloid leukemia and high-grade serous ovarian carcinoma, each with unique resistance patterns and synergy mechanisms. Experimental validations confirm that 96% of the multi-targeting treatments exhibit selective efficacy or synergy, and 83% demonstrate low toxicity to normal cells, highlighting their potential for therapeutic efficacy and safety. In a pan-cancer analysis across five cancer types, 25% of the predicted treatments are shared among the patients of the same tumor type, while 19% of the treatments are patient-specific. Our approach provides a widely-applicable strategy to identify personalized treatment regimens that selectively co-inhibit malignant cells and avoid inhibition of non-cancerous cells, thereby increasing their likelihood for clinical success.",
Benmelstobart plus anlotinib in patients with EGFR-positive advanced NSCLC after failure of EGFR TKIs therapy: a phase I/II study,"Meiqi Shi, Ping Chen, Bin Cui, Yuanhu Yao, Juanyi Wang, Tong Zhou, Li Wang",2024-10-10,"The effect of immune‐based therapies on patients with epidermal growth factor receptor (EGFR)-positive advanced non-small cell lung cancer (NSCLC) resistant to EGFR tyrosine kinase inhibitor (TKI) therapy remains unclear. The ALTER-L038 study aimed to evaluate efficacy and safety of a chemotherapy-free combination of benmelstobart, an anti-programmed cell death ligand 1 antibody, and anlotinib, a small-molecule multi-target anti-angiogenic TKI, in EGFR-positive advanced NSCLC patients who progressed after EGFR TKI therapy. Patients were enrolled in a phase I/II study. In phase I (dose-escalation), patients received anlotinib (8, 10, 12 mg) plus benmelstobart (1200 mg). Recommended phase II dose, determined during phase I, was used in phase II dose-expansion cohort. Primary endpoints were maximum tolerable dose in phase I and progression-free survival (PFS) in phase II. At the data cutoff date (March 10, 2024), 55 patients were enrolled in phase II dose-expansion cohort. Median PFS of patients included in phase II cohort was 9.0 months, median overall survival was 28.9 months, objective response rate was 25.5%, disease control rate was 87.3%, and median duration of response was 19.8 months. Incidence of grade ≥3 treatment-related adverse events in study population was 25.5% (14/55), whereas grade ≥3 immune-related adverse events occurred in 10.9% (6/55) of patients. Benmelstobart plus anlotinib showed promising anti-tumor efficacy with tolerable safety profile, supporting the value of further development of this convenient chemotherapy-free regimen for patients with EGFR-positive advanced NSCLC who progressed after EGFR TKI therapy. Trial Registration: ChiCTR1900026273.",
Preoperative scoring system for the prediction of risk of lymph node metastasis in cervical cancer,"Mu Xu, Xiaoyan Xie, Liangzhi Cai, DaBin Liu, Pengming Sun",2024-10-11,"The study aimed to develop and validate a preoperative scoring system to predict the risk of lymph node metastasis (LNM) in cervical cancer (CC). A total of 426 stage IB1–IIA1 CC patients were randomly divided into two sets. A logistic regression model was used to determine independent factors that contribute to LNM. A preoperative scoring system was developed based on beta (β) coefficients. An area under the receiver operating curve (AUC) was used to test for model discrimination. Five-year overall survival (OS) rate was 91.7%. Multivariable logistic regression analysis showed that FIGO stage, tumor size, depth of invasion on MRI, and squamous cell carcinoma antigen levels were independent risk factors in the development set (all P < 0.05). The AUCs of the scoring system for the development and validation sets were 0.833 (95% CI = 0.757–0.909) and 0.767 (95% CI = 0.634–0.891), respectively. Patients who scored 0–2, 3–5, and 6–8 were classified into low-risk, medium-risk, and high-risk groups. Predicted rates were in accord with observed rates in both sets. The 5-year OS rates of the new groups were also significantly different for the entire group, development set, and validation set (all P < 0.05). LNM affects the prognosis of CC patients. The scoring system can be used to assist in evaluating the risk of LNM in CC patients preoperatively. It is easy to obtain and can provide reference for clinical treatment decision-making.","Cervical cancer, Lymph node metastasis, Risk factor, Scoring system, Prognosis"
MYO1F regulates T-cell activation and glycolytic metabolism by promoting the acetylation of GAPDH,"Zhihui Cui, Heping Wang, Xiong Feng, Chuyu Wu, Ming Yi, Ruirui He, Ting Pan, Ru Gao, Lingyun Feng, Bo Zeng, Guoling Huang, Yuan Wang, Yanyun Du, Cun-jin Zhang, Xue Xiao, Chenhui Wang",2024-12-13,"Proper cellular metabolism in T cells is critical for a productive immune response. However, when dysregulated by intrinsic or extrinsic metabolic factors, T cells may contribute to a wide spectrum of diseases, such as cancers and autoimmune diseases. However, the metabolic regulation of T cells remains incompletely understood. Here, we show that MYO1F is required for human and mouse T-cell activation after TCR stimulation and that T-cell-specific Myo1f knockout mice exhibit an increased tumor burden and attenuated EAE severity due to impaired T-cell activation in vivo. Mechanistically, after TCR stimulation, MYO1F is phosphorylated by LCK at tyrosines 607 and 634, which is critical for glyceraldehyde-3-phosphate dehydrogenase (GAPDH) acetylation at Lys84, 86 and 227 mediated by α-TAT1, which is an acetyltransferase, and these processes are important for its activation, cellular glycolysis and thus the effector function of T cells. Importantly, we show that a fusion protein of VAV1-MYO1F, a recurrent peripheral T-cell lymphoma (PTCL)-associated oncogenic protein, promotes hyperacetylation of GAPDH and its activation, which leads to aberrant glycolysis and T-cell proliferation, and that inhibition of the activity of GAPDH significantly limits T-cell activation and proliferation and extends the survival of hVAV1-MYO1F knock-in mice. Moreover, hyperacetylation of GAPDH was confirmed in human PTCL patient samples containing the VAV1-MYO1F gene fusion. Overall, this study revealed not only the mechanisms by which MYO1F regulates T-cell metabolism and VAV1-MYO1F fusion-induced PTCL but also promising therapeutic targets for the treatment of PTCL.","T cell activation, MYO1F, GAPDH, VAV1-MYO1F fusion, Peripheral T-cell lymphoma (PTCL)"
Three-year outcomes of the randomized phase III SEIPLUS trial of extensive intraoperative peritoneal lavage for locally advanced gastric cancer,"Jing Guo, Aman Xu, Xiaowei Sun, Xuhui Zhao, Yabin Xia, Huamin Rao, Yaming Zhang, Rupeng Zhang, Li Chen, Tao Zhang, Gang Li, Hongtao Xu, Dazhi Xu",2021-11-15,"Whether extensive intraoperative peritoneal lavage (EIPL) after gastrectomy is beneficial to patients with locally advanced gastric cancer (AGC) is not clear. This phase 3, multicenter, parallel-group, prospective randomized study (NCT02745509) recruits patients between April 2016 and November 2017. Eligible patients who had been histologically proven AGC with T3/4NxM0 stage are randomly assigned (1:1) to either surgery alone or surgery plus EIPL. The results of the two groups are analyzed in the intent-to-treat population. A total of 662 patients with AGC (329 patients in the surgery alone group, and 333 in the surgery plus EIPL group) are included in the study. The primary endpoint is 3-year overall survival (OS). The secondary endpoints include 3-year disease free survival (DFS), 3-year peritoneal recurrence-free survival (reported in this manuscript) and 30-day postoperative complication and mortality (previously reported). The trial meets pre-specified endpoints. Estimated 3-year OS rates are 68.5% in the surgery alone group and 70.6% in the surgery plus EIPL group (log-rank p = 0.77). 3-year DFS rates are 61.2% in the surgery alone group and 66.0% in the surgery plus EIPL group (log-rank p = 0.24). The pattern of disease recurrence is similar in the two groups. In conclusion, EIPL does not improve the 3-year survival rate in AGC patients.",
Response of treatment-naive brain metastases to stereotactic radiosurgery,"Chibawanye I. Ene, Christina Abi Faraj, Thomas H. Beckham, Jeffrey S. Weinberg, Clark R. Andersen, Ali S. Haider, Ganesh Rao, Sherise D. Ferguson, Christopher A. Alvarez-Brenkenridge, Betty Y. S. Kim, Amy B. Heimberger, Ian E. McCutcheon, Sujit S. Prabhu, Chenyang Michael Wang, Amol J. Ghia, Susan L. McGovern, Caroline Chung, Mary Frances McAleer, Martin C. Tom, Subha Perni, Todd A. Swanson, Debra N. Yeboa, Tina M. Briere, Jason T. Huse, Gregory N. Fuller, Frederick F. Lang, Jing Li, Dima Suki, Raymond E. Sawaya",2024-05-02,"With improvements in survival for patients with metastatic cancer, long-term local control of brain metastases has become an increasingly important clinical priority. While consensus guidelines recommend surgery followed by stereotactic radiosurgery (SRS) for lesions >3 cm, smaller lesions (≤3 cm) treated with SRS alone elicit variable responses. To determine factors influencing this variable response to SRS, we analyzed outcomes of brain metastases ≤3 cm diameter in patients with no prior systemic therapy treated with frame-based single-fraction SRS. Following SRS, 259 out of 1733 (15%) treated lesions demonstrated MRI findings concerning for local treatment failure (LTF), of which 202 /1733 (12%) demonstrated LTF and 54/1733 (3%) had an adverse radiation effect. Multivariate analysis demonstrated tumor size (>1.5 cm) and melanoma histology were associated with higher LTF rates. Our results demonstrate that brain metastases ≤3 cm are not uniformly responsive to SRS and suggest that prospective studies to evaluate the effect of SRS alone or in combination with surgery on brain metastases ≤3 cm matched by tumor size and histology are warranted. These studies will help establish multi-disciplinary treatment guidelines that improve local control while minimizing radiation necrosis during treatment of brain metastasis ≤3 cm.",
Biodegradable copper-iodide clusters modulate mitochondrial function and suppress tumor growth under ultralow-dose X-ray irradiation,"Xiaoqian Ma, Nuo Lin, Qing Yang, Peifei Liu, Haizhen Ding, Mengjiao Xu, Fangfang Ren, Zhiyang Shen, Ke Hu, Shanshan Meng, Hongmin Chen",2024-09-16,"Both copper (Cu2+/+) and iodine (I−) are essential elements in all living organisms. Increasing the intracellular concentrations of Cu or I ions may efficiently inhibit tumor growth. However, efficient delivery of Cu and I ions into tumor cells is still a challenge, as Cu chelation and iodide salts are highly water-soluble and can release in untargeted tissue. Here we report mitochondria-targeted Cu-I cluster nanoparticles using the reaction of Cu+ and I− to form stable bovine serum albumin (BSA) radiation-induced phosphors (Cu-I@BSA). These solve the stability issues of Cu+ and I− ions. Cu-I@BSA exhibit bright radioluminescence, and easily conjugate with the emission-matched photosensitizer and targeting molecule using functional groups on the surface of BSA. Investigations in vitro and in vivo demonstrate that radioluminescence under low-dose X-ray irradiation excites the conjugated photosensitizer to generate singlet oxygen, and combines with the radiosensitization mechanism of the heavy atom of iodine, resulting in efficient tumor inhibition in female mice. Furthermore, our study reveals that BSA protection causes the biodegradable Cu-I clusters to release free Cu and I ions and induce cell death by modulating mitochondrial function, damaging DNA, disrupting the tricarboxylic acid cycle, decreasing ATP generation, amplifying oxidative stress, and boosting the Bcl-2 pathway.",
Forty-five patient-derived xenografts capture the clinical and biological heterogeneity of Wilms tumor,"Andrew J. Murphy, Xiang Chen, Emilia M. Pinto, Justin S. Williams, Michael R. Clay, Stanley B. Pounds, Xueyuan Cao, Lei Shi, Tong Lin, Geoffrey Neale, Christopher L. Morton, Mary A. Woolard, Heather L. Mulder, Hyea Jin Gil, Jerold E. Rehg, Catherine A. Billups, Matthew L. Harlow, Jeffrey S. Dome, Peter J. Houghton, John Easton, Jinghui Zhang, Rani E. George, Gerard P. Zambetti, Andrew M. Davidoff",2019-12-20,"The lack of model systems has limited the preclinical discovery and testing of therapies for Wilms tumor (WT) patients who have poor outcomes. Herein, we establish 45 heterotopic WT patient-derived xenografts (WTPDX) in CB17 scid-/- mice that capture the biological heterogeneity of Wilms tumor (WT). Among these 45 total WTPDX, 6 from patients with diffuse anaplastic tumors, 9 from patients who experienced disease relapse, and 13 from patients with bilateral disease are included. Early passage WTPDX show evidence of clonal selection, clonal evolution and enrichment of blastemal gene expression. Favorable histology WTPDX are sensitive, whereas unfavorable histology WTPDX are resistant to conventional chemotherapy with vincristine, actinomycin-D, and doxorubicin given singly or in combination. This WTPDX library is a unique scientific resource that retains the spectrum of biological heterogeneity present in WT and provides an essential tool to test targeted therapies for WT patient groups with poor outcomes.",
Autologous HER2-specific CAR T cells after lymphodepletion for advanced sarcoma: a phase 1 trial,"Meenakshi Hegde, Shoba Navai, Christopher DeRenzo, Sujith K. Joseph, Khaled Sanber, Mengfen Wu, Ahmed Z. Gad, Katherine A. Janeway, Matthew Campbell, Dolores Mullikin, Zeid Nawas, Catherine Robertson, Pretty R. Mathew, Huimin Zhang, Birju Mehta, Raksha R. Bhat, Angela Major, Ankita Shree, Claudia Gerken, Mamta Kalra, Rikhia Chakraborty, Sachin G. Thakkar, Olga Dakhova, Vita S. Salsman, Bambi Grilley, Natalia Lapteva, Adrian Gee, Gianpietro Dotti, Riyue Bao, Ahmed Hamed Salem, Tao Wang, Malcolm K. Brenner, Helen E. Heslop, Winfried S. Wels, M. John Hicks, Stephen Gottschalk, Nabil Ahmed",2024-04-24,"In this prospective, interventional phase 1 study for individuals with advanced sarcoma, we infused autologous HER2-specific chimeric antigen receptor T cells (HER2 CAR T cells) after lymphodepletion with fludarabine (Flu) ± cyclophosphamide (Cy): 1 × 108 T cells per m2 after Flu (cohort A) or Flu/Cy (cohort B) and 1 × 108 CAR+ T cells per m2 after Flu/Cy (cohort C). The primary outcome was assessment of safety of one dose of HER2 CAR T cells after lymphodepletion. Determination of antitumor responses was the secondary outcome. Thirteen individuals were treated in 14 enrollments, and seven received multiple infusions. HER2 CAR T cells expanded after 19 of 21 infusions. Nine of 12 individuals in cohorts A and B developed grade 1–2 cytokine release syndrome. Two individuals in cohort C experienced dose-limiting toxicity with grade 3–4 cytokine release syndrome. Antitumor activity was observed with clinical benefit in 50% of individuals treated. The tumor samples analyzed showed spatial heterogeneity of immune cells and clustering by sarcoma type and by treatment response. Our results affirm HER2 as a CAR T cell target and demonstrate the safety of this therapeutic approach in sarcoma. ClinicalTrials.gov registration: NCT00902044.",
